,COUNTYNAME,Started,Extinguished,Location,Latitude,Longitude,Name,AcresBurned,MajorIncident,pcp,tmax,tmin,YEAR,MONTH_NUM
21,Santa Barbara,2013-05-27T14:45:00Z,2013-05-30T19:30:00Z,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",34.55048,-119.82429,White Fire,1984.0,False,0.13,74.5,48.8,2013.0,5.0
22,Mariposa,2013-06-16T14:12:00Z,2013-06-26T11:15:00Z,"Off Carstens Road, east of 140 in the Midpines area.",37.58202,-119.91071,Carstens Fire,1708.0,True,0.12,84.9,54.2,2013.0,6.0
23,Riverside,2013-08-05T10:10:00Z,2013-08-09T18:45:00Z,"Ortega Highway, west of Lake Elsinoire",33.62236,-117.40288,Falls Fire,1383.0,False,0.94,99.1,71.5,2013.0,8.0
24,San Diego,2013-05-26T12:04:00Z,2013-05-31T06:15:00Z,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",33.04458,-116.5209,General Fire,1271.0,True,0.58,80.0,53.1,2013.0,5.0
25,Tuolumne,2013-08-05T06:00:00Z,2013-08-14T08:30:00Z,"Near Beardsley Lake, northeast of Sonora",38.25108,-120.02778,Power Fire,1070.0,False,0.1,80.1,51.3,2013.0,8.0
26,Kern,2013-08-18T23:12:00Z,2013-08-24T13:45:00Z,Lower Kern River Canyon area off Highway 178,35.707,-118.588,Shirley Fire,794.0,False,0.13,93.5,64.2,2013.0,8.0
27,Kern,2013-07-19T12:00:00Z,2013-07-22T18:45:00Z,West side of Interstate 5 in Lebec (Kern County),34.882,-118.9194,Rancho Fire,712.0,True,0.11,97.8,68.7,2013.0,7.0
28,Los Angeles,2013-05-17T13:23:00Z,2013-05-18T19:00:00Z,I-5 Southbound at Lake Hughes Road,34.49149,-118.610044,Lake Fire,712.0,False,0.55,78.1,53.6,2013.0,5.0
29,Kern,2013-07-23T09:15:00Z,2013-07-25T18:30:00Z,West side of Interstate 5 at Tejon Ranch,34.90327,-118.93388,Water Fire,612.0,False,0.11,97.8,68.7,2013.0,7.0
30,El Dorado,2013-07-08T12:45:00Z,2013-07-11T18:30:00Z,"Off Hwy 50 at 30 Mile Tract, Kyburz",38.774,-120.298,Kyburz Fire,572.0,False,0.07,88.1,59.8,2013.0,7.0
31,San Bernardino,2013-06-28T14:30:00Z,2013-07-01T06:00:00Z,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",34.071556,-117.048397,Mills Fire,534.0,True,0.0,99.5,70.0,2013.0,6.0
32,Plumas,2013-08-18T18:30:00Z,2013-08-25T13:15:00Z,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,40.00842,-120.764666,Plumas Lightning Complex (Hough),513.0,False,0.27,80.9,47.4,2013.0,8.0
33,Riverside,2013-05-04T11:43:00Z,2013-05-05T18:45:00Z,"Highway 243, south of Banning and north of Pine Cove",33.894055,-116.855019,Gorgonio Fire,510.0,False,0.13,88.3,60.3,2013.0,5.0
34,Modoc,2013-07-03T22:56:00Z,2013-07-05T18:30:00Z,5 miles northwest of Aiden,41.2415,-121.035,Fox Fire (formally 3-7 Fire),502.0,False,0.32,88.9,52.6,2013.0,7.0
35,San Luis Obispo,2013-06-01T17:27:00Z,2013-06-03T18:30:00Z,"west of the Carrizo Plain, Los Padres National Forest",35.15832,-120.05131,Branch Fire,500.0,False,0.0,85.3,54.3,2013.0,6.0
36,Contra Costa,2013-07-01T13:19:00Z,2013-07-01T18:40:00Z,Kirker Pass Road south of Pittsburg,37.96866,-121.91453,Kirker Fire,492.0,False,0.0,86.8,58.2,2013.0,7.0
37,Madera,2013-06-16T18:17:00Z,2013-06-18T19:30:00Z,"off Hwy 41 & Road 145, northwest of Friant ",37.015575,-119.78106,Rolling Fire,482.0,True,0.05,85.8,55.5,2013.0,6.0
38,San Bernardino,2013-08-20T13:32:00Z,2013-08-20T13:32:00Z,upper end of Lytle Creek,34.302,-117.598,Gobblers Fire,413.0,False,0.94,97.9,71.6,2013.0,8.0
39,Inyo,2013-02-24T08:16:00Z,2013-02-28T20:00:00Z,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",36.602575,-118.01651,River Fire,406.0,True,0.03,57.8,32.2,2013.0,2.0
40,Napa,2013-10-03T20:33:00Z,2013-10-04T16:55:00Z,off Berryessa Knoxville Rd near Lake Berryessa,38.628,-122.289,Putah Fire,376.0,True,0.0,76.5,45.9,2013.0,10.0
41,San Benito,2013-05-03T11:42:00Z,2013-05-03T18:45:00Z,"Highway 25 and Horizon Rd, Community of Tres ",37.160346,-120.937494,Tres Pinos Fire,354.0,False,0.03,77.3,48.4,2013.0,5.0
42,Butte,2013-10-04T17:37:00Z,2013-10-05T22:00:00Z,off District Center Dr & Fortune Way in Palermo,39.439,-121.497,Summit Fire,305.0,True,0.45,74.9,45.7,2013.0,10.0
43,San Joaquin,2013-05-30T11:20:00Z,2013-05-30T13:25:00Z,off North Shelton Rd in the Linden Peters area,38.04993,-120.90325,Shelton Fire,303.0,False,0.06,82.8,54.3,2013.0,5.0
44,Butte,2013-06-03T13:49:00Z,2013-06-03T20:00:00Z,Palermo Road and Lone Tree Road near Palermo,39.434183,-121.576804,Lone Fire,298.0,True,1.42,87.6,58.0,2013.0,6.0
45,Contra Costa,2013-07-01T15:41:00Z,2013-07-01T18:30:00Z,off Concord Ave & Vineyard Parkway in Brentwood,39.90465,-121.74367,Concord Fire,274.0,False,0.0,86.8,58.2,2013.0,7.0
46,Madera,2013-04-30T12:59:00Z,2013-05-01T07:00:00Z,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,37.116295,-119.635004,Gold Fire,274.0,False,0.87,69.8,41.7,2013.0,4.0
47,Los Angeles,2013-09-23T18:00:00Z,2013-09-28T08:00:00Z,San Gabriel Canyon 1/4 mile west of the entrance station,34.149,-117.908,Madre Fire,268.0,False,0.01,86.5,59.8,2013.0,9.0
48,San Diego,2013-09-09T13:09:00Z,2013-09-12T18:15:00Z,"Four Corners, Lyons Valley Road, east of Lyons Peak",32.710918,-116.746023,Lyon Fire,263.0,True,0.27,87.8,59.0,2013.0,9.0
49,San Bernardino,2013-08-08T12:15:00Z,2013-08-13T23:45:00Z,Sheep canyon just south of Wrightwood,34.35,-117.62,Sharp Fire,243.0,False,0.94,97.9,71.6,2013.0,8.0
50,Alameda,2013-06-08T10:16:00Z,2013-06-08T13:25:00Z,"off Vasco Road & North Vasco Road, north of Livermore",37.775057,-121.737213,Vasco Fire,240.0,False,0.12,80.8,55.8,2013.0,6.0
51,Placer,2013-06-13T11:28:00Z,2013-06-13T14:15:00Z,"PFE Road and Watt Avenue, West Roseville",38.729297,-121.380862,PFE Fire,237.0,False,1.45,80.8,52.1,2013.0,6.0
52,Glenn,2013-05-01T19:00:00Z,2013-05-05T18:00:00Z,2 miles south of the community of Elk Creek,39.514139,-122.560862,306 Fire,217.0,True,0.31,79.5,52.1,2013.0,5.0
53,San Bernardino,2013-09-24T15:51:00Z,2013-09-30T08:30:00Z,in the Cajon Pass west of I-15 near Glen Helen Road,34.2,-117.417,Sierra Fire,200.0,False,0.52,91.5,65.3,2013.0,9.0
54,Tehama,2013-07-04T07:30:00Z,2013-07-04T10:30:00Z,"Tehama-Vina Rd and Sherman Rd, Los Molinos",40.012398,-122.079871,Vina Fire,200.0,False,0.04,94.8,64.0,2013.0,7.0
55,Shasta,2013-08-19T17:48:00Z,2013-08-23T19:15:00Z,Fall River Mills and McAruther area,40.5445,-121.3754,Burney Lightning Series (Warner Fire),196.0,True,0.16,87.9,55.4,2013.0,8.0
56,Tehama,2013-07-19T13:32:00Z,2013-07-19T15:00:00Z,West of Corning,39.961309,-122.330879,Paskenta Fire,195.0,False,0.04,94.8,64.0,2013.0,7.0
57,Napa,2013-11-21T21:39:00Z,2013-11-23T18:30:00Z,Off Silverado Trail in the Soda Canyon area near Napa,38.382,-122.311,Silverado Fire,190.0,True,0.91,67.2,42.6,2013.0,11.0
58,Santa Barbara,2013-05-28T15:24:00Z,2013-05-29T10:30:00Z,"Hwy 246 and Meadowvale, East of Solvang ",34.611824,-120.074655,Olive Fire,170.0,False,0.13,74.5,48.8,2013.0,5.0
59,Yolo,2013-11-04T11:41:00Z,2013-11-04T15:35:00Z,"Off County Road 23 & County Road 81, Southwest of Esparto",38.67479,-122.08725,Capay Fire,163.0,False,0.87,69.0,43.3,2013.0,11.0
60,El Dorado,2013-07-19T14:12:00Z,2013-07-19T17:15:00Z,South of Hwy 50 at the El Dorado and Sacramento County line,38.63987,-121.08438,50 Fire,163.0,False,0.07,88.1,59.8,2013.0,7.0
61,Sacramento,2013-07-19T14:12:00Z,2013-07-19T17:15:00Z,South of Hwy 50 at the El Dorado and Sacramento County line,38.63987,-121.08438,50 Fire,163.0,False,0.0,95.0,60.7,2013.0,7.0
62,Sonoma,2013-10-04T12:25:00Z,2013-10-05T07:45:00Z,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",38.34599,-122.6503,Crane Fire,159.0,False,0.0,73.8,44.6,2013.0,10.0
63,Sonoma,2013-07-26T13:45:00Z,2013-07-26T17:45:00Z,"Off Lakeville Hwy, 6 miles SE of Petaluma",38.17693,-122.51253,Lakeville Fire,158.0,False,0.02,78.9,53.1,2013.0,7.0
64,Riverside,2013-07-16T17:48:00Z,2013-07-17T07:45:00Z,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",33.990128,-117.164997,Redlands Fire,150.0,False,0.41,100.2,75.0,2013.0,7.0
65,Stanislaus,2013-07-12T15:35:00Z,2013-07-13T21:45:00Z,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",37.436,-121.1955,Diablo Fire,150.0,False,0.0,94.8,62.7,2013.0,7.0
66,Fresno,2013-06-25T13:36:00Z,2013-06-25T17:15:00Z,off Bronco Lane in Squaw Valley,36.7218,-119.2248,George Fire,150.0,False,0.03,84.9,55.3,2013.0,6.0
67,Los Angeles,2013-05-28T11:30:00Z,2013-05-29T15:30:00Z,off Magic Mtn Parkway in Valencia,34.419284,-118.58688,Magic Fire,149.0,False,0.55,78.1,53.6,2013.0,5.0
68,Tulare,2013-09-08T11:53:00Z,2013-09-24T20:15:00Z,Golden Trout Wilderness,36.258,-118.459,Angora Fire,134.0,False,0.11,79.4,52.3,2013.0,9.0
69,Sonoma,2013-05-01T02:01:00Z,2013-05-03T06:15:00Z,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",38.638828,-122.655616,Yellow Fire,125.0,True,0.29,73.7,47.4,2013.0,5.0
70,Solano,2013-06-18T15:18:00Z,2013-06-18T22:30:00Z,"Off Lake Herman Rd, west of Hwy 680 in Benicia",38.08744,-122.13802,California Fire,124.0,False,0.24,86.7,57.3,2013.0,6.0
71,Merced,2013-06-04T15:42:00Z,2013-06-05T08:30:00Z,Hwy 152 in San Luis Creek Reservoir,37.03776,-121.006939,152 Fire,124.0,False,0.05,90.4,60.3,2013.0,6.0
72,Riverside,2013-05-25T14:59:00Z,2013-05-25T23:00:00Z,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",33.963591,-117.187934,Smiley Fire,124.0,False,0.13,88.3,60.3,2013.0,5.0
73,Lake,2013-11-08T13:42:00Z,2013-11-10T18:30:00Z,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",38.882214,-122.567525,Cantwell Fire,120.0,True,1.4,64.4,40.5,2013.0,11.0
74,El Dorado,2013-08-16T13:55:00Z,2013-08-16T17:55:00Z,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",38.682378,-120.839075,Union Fire,116.0,True,0.15,83.9,55.6,2013.0,8.0
75,San Bernardino,2013-08-17T17:25:00Z,2013-08-18T20:55:00Z,I-15 Cajon Pass south of Cleghorn Road,34.287,-117.451,Cleghorn Fire,110.0,False,0.94,97.9,71.6,2013.0,8.0
76,Fresno,2013-06-13T11:54:00Z,2013-06-13T21:30:00Z,"Clinton and Highland, East of Fresno",36.772425,-119.628389,Clinton Fire,108.0,False,0.03,84.9,55.3,2013.0,6.0
77,Monterey,2013-06-29T14:09:00Z,2013-06-29T18:30:00Z,"off Hwy 198, 10 miles east of King City",36.1531,-120.8973,Freeman Fire,105.0,False,0.01,84.1,51.9,2013.0,6.0
78,Tuolumne,2013-06-02T13:30:00Z,2013-06-02T16:55:00Z,off Lime Kiln Rd,37.91529,-120.33313,Murphy Fire,100.0,False,0.39,77.6,49.1,2013.0,6.0
79,San Diego,2013-05-22T16:14:00Z,2013-05-23T08:30:00Z,Off Alta Rd in the Otay Mesa area,32.564465,-116.900368,Border Fire,100.0,False,0.58,80.0,53.1,2013.0,5.0
80,Mendocino,2013-09-28T13:57:00Z,2013-09-29T18:15:00Z,"off Highland Springs Rd, southeast of Kelseyville",38.9252,-122.966,Highland Fire,98.0,False,1.7,77.0,51.3,2013.0,9.0
81,Modoc,2013-09-05T15:57:00Z,2013-09-24T20:15:00Z,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",41.73325,-120.375,Davis Creek Complex,97.0,False,1.28,71.4,42.5,2013.0,9.0
82,San Bernardino,2013-08-24T15:09:00Z,2013-08-30T08:00:00Z,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,33.642,-116.706,Little Fire,97.0,False,0.94,97.9,71.6,2013.0,8.0
83,Lassen,2013-08-09T15:51:00Z,2013-08-12T09:30:00Z,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",40.88886,-120.958126,Coyote Fire,97.0,False,0.67,82.9,47.6,2013.0,8.0
84,Amador,2013-06-12T16:43:00Z,2013-06-13T09:45:00Z,"Roadrunner Drive, south of Ione",38.27783,-120.966016,Roadrunner Fire,96.0,False,0.74,85.7,56.0,2013.0,6.0
85,San Luis Obispo,2013-09-24T03:20:00Z,2013-09-24T17:30:00Z,"off Toro Creek Rd, east of Cayucos",35.4393,-120.8358,Creek Fire,94.0,False,0.0,85.1,54.3,2013.0,9.0
86,Butte,2013-08-01T16:01:00Z,2013-08-04T14:45:00Z,Near Rocky Peak - North Fork Lake Oroville near Cherokee,39.6612,-121.50354,Branch Fire,92.0,True,0.03,89.9,58.4,2013.0,8.0
87,Madera,2013-05-19T15:07:00Z,2013-05-20T19:10:00Z,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,37.1927,-119.7917,Lilly 2 Fire,91.0,True,0.44,75.1,47.4,2013.0,5.0
88,Riverside,2013-05-21T14:16:00Z,2013-05-21T19:30:00Z,Off Whitewater Canyon Road in Whitewater,33.9582,-116.6534,Water Fire,90.0,False,0.13,88.3,60.3,2013.0,5.0
89,San Luis Obispo,2013-07-07T13:16:00Z,2013-07-07T22:00:00Z,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",35.62743,-120.83417,Adelaida Fire,85.0,False,0.01,90.1,58.6,2013.0,7.0
90,Mendocino,2013-11-22T10:06:00Z,2013-11-22T17:30:00Z,"Off Hwy 101 at Henry Station Rd, north of Hopland",39.0442,-123.1478,Retek Fire,82.0,False,1.9,63.9,39.7,2013.0,11.0
91,Butte,2013-08-31T17:23:00Z,2013-09-01T18:00:00Z,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",39.731878,-121.713938,Centerville Fire,80.0,True,0.03,89.9,58.4,2013.0,8.0
92,San Bernardino,2013-07-25T15:09:00Z,2013-07-26T18:15:00Z, Hwy 138 west of Hwy 173,34.316,-117.352,Silverwood Fire,75.0,False,0.35,101.2,76.4,2013.0,7.0
93,Madera,2013-06-12T16:40:00Z,2013-06-14T16:30:00Z,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,37.169379,-119.75636,Revis Fire,75.0,True,0.05,85.8,55.5,2013.0,6.0
94,San Bernardino,2013-05-13T13:30:00Z,2013-05-15T08:15:00Z,"I-15 at Sierra Ave, near Lytle Creek",34.1834,-117.4408,Lytle Fire,75.0,True,0.07,87.1,59.7,2013.0,5.0
95,Napa,2013-04-30T23:44:00Z,2013-05-01T17:15:00Z,"7300 block of Silverado Trail, north of Napa",38.441792,-122.350844,Silverado Fire,75.0,False,1.05,74.5,47.4,2013.0,4.0
96,San Bernardino,2013-09-11T16:57:00Z,2013-09-12T08:45:00Z,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",34.003151,-117.106075,Liveoak Fire,73.0,False,0.52,91.5,65.3,2013.0,9.0
97,Yuba,2013-07-08T09:59:00Z,2013-07-08T17:30:00Z,"off Highway 20 and McGanney Lane, west of Smartsville",39.206,-121.31634,McGanney Fire,73.0,False,0.0,95.9,63.7,2013.0,7.0
98,Lake,2013-08-16T17:57:00Z,2013-08-18T18:30:00Z,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",39.013682,-122.491894,Double Fire,70.0,True,0.01,86.7,56.3,2013.0,8.0
99,Modoc,2013-09-07T17:30:00Z,2013-09-05T21:00:00Z,"Rail Mountain, 7 miles NW of Canby",41.569,-120.959,Rail Fire,68.0,False,1.28,71.4,42.5,2013.0,9.0
100,Ventura,2013-11-14T11:05:00Z,2013-11-15T16:00:00Z,"Wheeler Canyon, north of Santa Paula",34.384,-119.13249,Wheeler Fire,64.0,False,0.84,67.7,42.9,2013.0,11.0
101,Riverside,2013-08-06T13:39:00Z,2013-08-08T09:00:00Z,Off of Hwy 111 & Tramway Rd in Palm Springs,38.838,-116.61,Tram Fire,60.0,False,0.94,99.1,71.5,2013.0,8.0
102,Riverside,2013-08-04T16:29:00Z,2013-08-04T18:00:00Z,"near Mt. David, south of Beaumont",33.91027,-116.99895,Relay Fire,60.0,False,0.94,99.1,71.5,2013.0,8.0
103,Nevada,2013-08-31T14:42:00Z,2013-08-31T21:30:00Z,"North San Juan Area, Highway 49 and Tyler Foote Road",39.333401,-121.107022,Tyler Fire,52.0,False,0.05,82.8,52.8,2013.0,8.0
104,San Luis Obispo,2013-11-08T10:30:00Z,2013-11-09T17:00:00Z,"Toro Creek Rd. and Hwy 41 West, Morro Bay",35.457978,-120.751555,Toro Fire,51.0,True,0.3,69.4,42.0,2013.0,11.0
105,Lake,2013-11-23T12:04:00Z,2013-11-24T08:45:00Z,"Off Bruner Drive & Al Drive, Clearlake Oaks",39.0448,-122.7656,Bruner Fire,50.0,False,1.4,64.4,40.5,2013.0,11.0
106,Siskiyou,2013-08-15T14:40:00Z,2013-08-15T17:00:00Z,"Cottonwood Creek Rd., 2 miles north of Hornbrook",41.923323,-122.578393,Cottonwood Fire,50.0,False,0.55,82.0,50.8,2013.0,8.0
107,Santa Clara,2013-07-12T13:09:00Z,2013-07-12T17:45:00Z,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",37.1438,-121.7804,Uvas Fire,50.0,False,0.0,84.3,58.8,2013.0,7.0
108,Alameda,2013-07-04T10:00:00Z,2013-07-04T11:30:00Z,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",37.7393,-121.5869,Grant Fire,50.0,False,0.0,83.9,58.4,2013.0,7.0
109,San Luis Obispo,2013-05-25T17:35:00Z,2013-05-25T18:45:00Z,"Homestead Rd & Hwy 41, northeast of Atascadero ",35.5123,-120.6368,Homestead Fire,50.0,False,0.16,79.2,48.6,2013.0,5.0
110,Calaveras,2013-08-17T10:11:00Z,2013-08-19T07:10:00Z,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",38.06231,-120.45233,Bridges Fire,46.0,True,0.0,89.3,57.8,2013.0,8.0
111,Fresno,2013-06-17T14:41:00Z,2013-06-19T08:45:00Z,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",37.03087,-119.463757,Sierra Fire,46.0,False,0.03,84.9,55.3,2013.0,6.0
112,Mendocino,2013-07-23T13:29:00Z,2013-07-23T16:00:00Z,"Hwy 175 & Pratt Ranch Road, East of Hopland ",38.980846,-123.067671,Pratt Fire,45.0,False,0.08,86.4,54.9,2013.0,7.0
113,Shasta,2013-07-09T11:59:00Z,2013-07-09T15:00:00Z,off Fiddler,40.373,-122.7338,Fiddler Fire,43.0,False,0.22,94.0,60.2,2013.0,7.0
114,Riverside,2013-06-08T15:37:00Z,2013-06-08T19:00:00Z,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",33.96936,-117.1265,Viper Fire,42.0,False,0.0,99.1,67.9,2013.0,6.0
115,San Mateo,2013-09-07T13:55:00Z,2013-09-07T20:00:00Z,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",37.667295,-122.427285,Chestnut Fire,41.0,False,0.6,74.8,54.3,2013.0,9.0
116,Santa Clara,2013-12-31T05:30:00Z,2013-12-31T16:00:00Z,off Mount Hamilton Road near Grant Ranch County Park,37.342186,-121.717706,Grant Fire,40.0,False,0.51,59.5,36.1,2013.0,12.0
117,Orange,2013-10-06T10:52:00Z,2013-10-09T08:00:00Z,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",33.7655,-117.6649,Baker Fire,40.0,False,0.33,76.3,55.0,2013.0,10.0
118,Riverside,2013-08-16T13:31:00Z,2013-08-16T21:00:00Z,Ave 66 and Pierce Street  ,33.570291,-116.10815,Pierce Fire,40.0,False,0.94,99.1,71.5,2013.0,8.0
119,Riverside,2013-07-19T16:21:00Z,2013-07-20T19:30:00Z,Heacock St & Sandy Glade Ave in Moreno Valley,33.9634,-117.2508,Heacock Fire,40.0,False,0.41,100.2,75.0,2013.0,7.0
120,Riverside,2013-06-14T13:47:00Z,2013-06-15T08:00:00Z,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",34.001745,-117.302057,Palmyrita Fire,40.0,False,0.0,99.1,67.9,2013.0,6.0
121,Riverside,2013-05-16T13:48:00Z,2013-05-17T08:30:00Z,"Avenue 54 and Tyler Street, near the community of Coachella",33.655638,-116.161201,54 Fire,40.0,True,0.13,88.3,60.3,2013.0,5.0
122,El Dorado,2013-08-24T14:54:00Z,2013-08-24T11:45:00Z,off Hwy 193 & Empire Creek Cir near Georgetown,38.89555,-120.84716,Empire Fire,38.0,False,0.15,83.9,55.6,2013.0,8.0
123,Lake,2013-08-07T12:35:00Z,2013-08-07T18:30:00Z,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",39.1591,-122.5906,Indian Fire,38.0,False,0.01,86.7,56.3,2013.0,8.0
124,Alameda,2013-07-06T13:09:00Z,2013-07-06T14:30:00Z,off Fallon Rd & Camino Tassajara near Dublin ,37.74241,-121.86216,Fallon Fire,38.0,False,0.0,83.9,58.4,2013.0,7.0
125,Fresno,2013-06-13T15:54:00Z,2013-06-13T21:30:00Z,"off McKinley Ave & Academy Ave, north of Sanger ",36.763367,-119.558244,Michelle Fire,35.0,False,0.03,84.9,55.3,2013.0,6.0
126,San Luis Obispo,2013-05-20T15:45:00Z,2013-05-20T19:10:00Z,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35.49864,-120.91375,Cottontail Fire,35.0,False,0.16,79.2,48.6,2013.0,5.0
127,Shasta,2013-11-07T16:10:00Z,2013-11-07T19:45:00Z,"Off Dersch Rd and Hyrax, Millville",40.483662,-122.140914,Dersch Fire,33.0,False,1.71,60.8,36.8,2013.0,11.0
